,periodoA,osf,categoria,p1_a,p1_b,p1_e,p1_g,p1_h,p1_i,p2,p4,p5_a,p5_b,p5_c,p5_e,p6,p6.1,evaluacion,comentarios
3359,1,"SAIIS, Sociedad de Alumnos de Ingeniero Industrial y de Sistemas",Sociedad de Alumnos ITESM,4,5,5,5,5,5,True,0,5,5,5,5,2,False,4,[]
3360,1,"EZER, A.B.P. La Casa del Voluntario",ONG - Humanitaria,4,4,3,3,3,3,False,0,4,4,4,4,2,False,3,[]
3361,1,Community FIRST For Inspiration and Recognition of Science and Technology,Emprendimiento y desarrollo,5,5,5,4,4,1,True,2,5,5,4,5,0,False,4,"['se', 'solo', 'contacto']"
3362,1,Pal Sur del Norte,ONG - Desarrollo humano,4,4,3,3,3,4,True,0,5,4,5,5,0,False,3,"['forma', 'hubiera', 'encantado', 'forma', 'siento', 'hubiera', 'mas', 'muy', 'se', 'duda', 'cuando', 'no', 'solo', 'sino', 'ellos', 'se']"
3363,1,Proyecto 99,ONG - Humanitaria,4,4,4,4,4,4,True,2,4,4,4,5,2,False,4,[]
3364,1,Proyecto 99,ONG - Humanitaria,5,5,5,5,5,5,True,0,5,5,5,5,0,True,4,"['encanto', 'voy', 'muy', 'trabajando', 'grandes', 'experiencias', 'muy', 'cuando', 'clase', 'dijeron', 'les', 'les']"
3365,1,"CONAFE, Consejo Nacional de Fomento Educativo",ONG - Desarrollo humano,5,5,5,5,5,5,True,5,5,5,5,5,2,False,4,[]
3366,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,5,5,5,5,5,4,False,0,4,5,5,5,2,False,4,[]
3367,1,"SAIIS, Sociedad de Alumnos de Ingeniero Industrial y de Sistemas",Sociedad de Alumnos ITESM,5,5,5,5,5,5,True,0,5,5,5,5,2,True,4,"['tenido', 'muy']"
3368,1,Fundacionplan.org - Plan SPAP A.C.,ONG - Humanitaria,4,4,4,4,4,3,True,0,5,5,5,5,2,True,4,"['forma', 'siento', 'hubo', 'falta']"
3369,1,Dirección de Servicio Social,Dirección Servicio Social Campus Mty.,5,5,3,5,5,5,True,5,5,5,5,5,0,True,4,"['gran', 'grupo']"
