osf,clase
"Unidos Somos Iguales, A.B.P.",ONG - Humanitaria
"Fundación México Incluyente, A.C.",ONG - Humanitaria
"ARENA, Asociación Regiomontana de Niños Autistas, A.B.P",ONG - Salud
"Águilas Guadalupanas, A.C.",ONG - Humanitaria
"Despierta, Cuestiona y Actúa, A. C.",ONG - Humanitaria
"ASOCIACIÓN DE PSICÓLOGOS DE NUEVO LEÓN, A.C.",ONG - Humanitaria
"SAITC, Sociedad de Alumnos de Ingeniería en Tecnologías Computacionales",Sociedad de Alumnos ITESM
"Andares, A.B.P.",ONG - Humanitaria
"LIFE, Liderazgo y Formación Estudiantil",ONG - Desarrollo humano
"Consejo Cívico de Instituciones de Nuevo León, A.C.",ONG - Política y leyes
"FONDEAGG, Fondo Educativo Gral. de Div. Anacleto Guerrero Guajardo, A.C",ONG - Desarrollo humano
EAAD - Departamento de Urbanismo,Emprendimiento y desarrollo
"CEI, Comité Ecológico Integral",ONG - Medio ambiente
"SAITD, Sociedad de Alumnos de Ingenieria en Transformación Digital de Negocios",Sociedad de Alumnos ITESM
"SAIM, Sociedad de Alumnos de Ingeniero Mecánico",Sociedad de Alumnos ITESM
"Plásticos Blue Phoenix, S.A. de C.V.",ONG - Medio ambiente
"CreeSer, A.B.P.",ONG - Humanitaria
"Fundación Lazos, IAP",ONG - Humanitaria
Club Deportivo Pumas AC,Actividades recreativas
Monterrey Interactive Media y Entertrainment Cluster,Emprendimiento y desarrollo
"Centro de Capacitación y Talento Empresarial Industrial, A.C.",ONG - Desarrollo humano
"SALTM, Sociedad de Alumnos de Licenciatura en Tecnologías y Producción Musical",Sociedad de Alumnos ITESM
Centro VALIA,ONG - Desarrollo humano
Fomento Prevocacional Severiano Martínez ABP,ONG - Desarrollo humano
Laboratorio de Innovación Social Tutores de Resiliencia,ONG - Desarrollo humano
Museo de Historia Mexicana,ONG - Arte y cultura
Emprendedores Líderes Generando la Evolución por México A.C. (Elige México),Emprendimiento y desarrollo
Secretaría de Educación (Sector No. 14),ONG - Desarrollo humano
"Centro de Capacitación y Talento Empresarial Industrial, A.C",ONG - Desarrollo humano
"Fundación Riisa, A.C.",ONG - Humanitaria
INSTITUTO DE CIENCIAS Y TECNOLOGÍAS APLICADAS SC,Emprendimiento y desarrollo
"LIN, Dirección de Carrera de Licenciado en Negocios Internacionales (Caremisiones)",ONG - Desarrollo humano
Práctica Jurídica LED,ONG - Política y leyes
Community FIRST: For Inspiration and Recognition of Science and Technology,Emprendimiento y desarrollo
SALED – Sociedad de Alumnos de Licenciatura en Derecho,Sociedad de Alumnos ITESM
"Proeducación, I.A.P.",ONG - Desarrollo humano
América Solidaria México,ONG - Humanitaria
SAC - Sociedad de Alumnos de Comunicación,Sociedad de Alumnos ITESM
Semillero Espiral Colectivo,ONG - Medio ambiente
SALEC - Sociedad de Alumnos de Licenciatura en Economía,Sociedad de Alumnos ITESM
"AECOAH, Asociación de Estudiantes de Coahuila",ONG - Desarrollo humano
"SOSAC, Sociedad Sostenible, A.C.",ONG - Desarrollo humano
"Cambio Para el Aprendizaje en Niños y Adolescentes, A.C.",ONG - Desarrollo humano
EHE - Educación Continua- Arizona State UniversitySolarSPELL.org,ONG - Desarrollo humano
Secretaría de Cultura y Educación del Municipio de San Pedro,ONG - Arte y cultura
"Formando Emprendedores, A.B.P",Emprendimiento y desarrollo
"Vecinos Fuente del Valle, A.C.",ONG - Medio ambiente
ABBA | ADOPCIÓN Y ACOGIMIENTO FAMILIAR DE MÉXICO AC,ONG - Humanitaria
"Redes Quinto Poder IDEA, A.C.",ONG - Política y leyes
CONSEJO NACIONAL MEXICANO DE PUEBLOS ORIGINARIOS Y COMUNIDADES INDIGENAS,ONG - Arte y cultura
"Club deportivo de Fútbol Americano Pumas, A.C.",Actividades recreativas
"SALAD, Sociedad de Alumnos en Animación y Arte Digital",Sociedad de Alumnos ITESM
"PRODEIQ, Programa para el Desarrollo del Ingeniero Químico",ONG - Desarrollo humano
SAITD – Sociedad de Alumnos de Ingeniería en Transformación Digital de Negocios,Sociedad de Alumnos ITESM
AEDEG - Asociación de Estudiantes Deutsche Gemeinschaft,ONG - Desarrollo humano
Líderes del Mañana,ONG - Desarrollo humano
"Laboratorio de Arte, A.C.",ONG - Arte y cultura
SACPF - Sociedad de Alumnos de Licenciatura en Contaduría Pública y Finanzas,Sociedad de Alumnos ITESM
Gasilem SA de CV,ONG - Humanitaria
Capa x Capa,ONG - Desarrollo humano
"I CARE FOUNDATION, A.C.",ONG - Desarrollo humano
"Compromiso y Responsabilidad Educativa, ABP",ONG - Desarrollo humano
"EIC, EHE y EAAD - Innovaction Gym",Emprendimiento y desarrollo
SALAEt - Sociedad de Alumnos de Licenciado en Estrategia y Transformación de Negocios,Sociedad de Alumnos ITESM
AEDUR - Asociación de Estudiantes de Durango,ONG - Desarrollo humano
Plásticos Blue Phoenix S.A. de C.V.,ONG - Medio ambiente
"SAIID, Sociedad de Alumnos de Ingeniería en Innovación y Desarrollo",Sociedad de Alumnos ITESM
