osf,clase
"PRODAN, Prodefensa Animal, A.C. - Prestame tu Casa",ONG - Medio ambiente
wwleadership sc - Mkt Digital: Prepa Leadership,Emprendimiento y desarrollo
Thunder MX - Thunder Mx: Consultoría a ONGs,ONG - Desarrollo humano
"Club Deportivo de Fútbol Americano Avispones, A.C. - Coach de futbol americano",Actividades recreativas
"Movimiento de Activación Ciudadana, A.C. - Promotores de Seguridad Vial, Zona Escolar Segura",ONG - Humanitaria
"Redes Quinto Poder IDEA, A.C. - Promoción de los derechos humanos",ONG - Humanitaria
Pal Sur del Norte - Pal Sur del Norte: educación y derechos,ONG - Desarrollo humano
"Fundación México Incluyente, A.C. - Creando Comunidad en San Pedro",ONG - Arte y cultura
"Familia de Santa María, A.C. - FSM Radio - Diseño gráfico y Redes Sociales.",ONG - Desarrollo humano
"Institución Renace, A.B.P. - Creación de nuevo concepto: rebranding institucional",ONG - Desarrollo humano
"DIF Nuevo León - Construcción Cultural, Deportiva y Emocional para DIF Nuevo León",ONG - Arte y cultura
"WEEDS, Worldwide Education in Environmental Development and Sustainability, A.C. - Emprendimiento en un mundo más verde",ONG - Medio ambiente
Secretaria de Medio Ambiente de Nuevo León - Conservando la Biodiversidad,ONG - Medio ambiente
"Familia de Santa María, A.C. - FSM - Gestión y orientación fiscal",ONG - Desarrollo humano
Dirección de Emprendimiento Social - Coordinación Semifinales Hult Prize @Monterrey,Emprendimiento y desarrollo
"Consejo de Seguridad de la Información y Ciberseguridad, A. C. - Vinculación para difusión en Sudamérica",ONG - Desarrollo humano
"Un Techo para mi País México, A.C. - TECHO: Comunicación de historias y estrategia de sostenimiento",ONG - Medio ambiente
"CEI, Comité Ecológico Integral - Sistema web de calidad de aire",ONG - Medio ambiente
Instituto de Bienestar Integral (IBI) - Marketing digital,ONG - Humanitaria
"CVA, Centro Virtual de Aprendizaje Tec de Monterrey - MICROLEARNING - Creador capsulas educativa y de ayudas visuales educativas",ONG - Desarrollo humano
"Redes Quinto Poder IDEA, A.C. - Tecnología con Impacto Social",ONG - Desarrollo humano
Dirección de Emprendimiento Social - PyMES SOS,Emprendimiento y desarrollo
Inclusión y Accesibilidad - Programa Surfers de la Neurodiversidad,ONG - Humanitaria
Compromiso y Responsabilidad Educativa ABP - Plataforma CREducativa (MOOC´s Educativos),ONG - Desarrollo humano
GeoStats - GeoSTATS: Generación de mapas con datos georefenciados,Emprendimiento y desarrollo
"FONDEAGG, Fondo Educativo Gral. de Div. Anacleto Guerrero Guajardo, A.C - Diseño, comunicación y medios digitales",ONG - Desarrollo humano
"Paso de Esperanza, A.C. - Pasos de EsperanzAPP",ONG - Humanitaria
"Huellas que Trascienden, A.C. - Comunicación Digital HQT",Emprendimiento y desarrollo
Clínica Jurídica Penal del Tec de Monterrey - Cínica Penal,ONG - Política y leyes
"La Cumbre Cotidiana, A.C. - La web para senderistas",ONG - Humanitaria
"Best Buddies de México, A.C - Best Buddies Universidad",ONG - Humanitaria
EAAD - Impulso Urbano - Construcción Sustentable - aprender tecnicas ansestrales,ONG - Desarrollo humano
Proyecto 99 - Proyecto 99 - Idiomas,ONG - Desarrollo humano
Observatorio Ciudadano OCCAMM - Newsletter OCCAMM,ONG - Humanitaria
"Institución Renace, A.B.P. - RENACE: Modernización en Sistemas",ONG - Desarrollo humano
"Un Techo para mi País México, A.C. - Diseño de herramientas en temas de Desarrollo Económico y Social",ONG - Humanitaria
"Familia de Santa María, A.C. - FSM Radio - Creación de página web",ONG - Humanitaria
Secretaría de Educación de Nuevo León: Coordinación Estatal de Telebachillerato y del Subsistema de Preparatoria Abierta de la Subsecretaría de Educación Media Superior y Superior.,ONG - Desarrollo humano
Iniciativa de Educación con Equidad y Calidad,ONG - Desarrollo humano
Dirección de Servicio Social - Acciones ciudadanas,Dirección Servicio Social Campus Mty.
AEVER- Asociación de Estudiantes de Veracruz,ONG - Desarrollo humano
Duendes del Valle,Actividades recreativas
Prepanet Campus Monterrey,ONG - Desarrollo humano
"Club deportivo de Fútbol Americano Halcones, A.C.",Actividades recreativas
FUERZA Y ESPERANZA POR UNO MÁS,ONG - Humanitaria
Conexión Tec - Neuroengineering & Neuroacoustics Research Group,ONG - Desarrollo humano
"MXBT, Mexicambiente",ONG - Medio ambiente
IPPART Asociación civil.,ONG - Humanitaria
Imagina ABP,ONG - Desarrollo humano
CONCRETOS DELESE / VIDUSA,ONG - Desarrollo humano
Community First (Campus Cumbres),Emprendimiento y desarrollo
Instituto Estatal de la Juventud,ONG - Humanitaria
Fundación Ávila Cruz A. C.,ONG - Arte y cultura
"CIBRUC, Centro de Investigación sobre Biodigestión Anaerobia y Residuos Urbanos, A.C.",Investigación
#100en1díaMTY,ONG - Humanitaria
Punto Blanco,ONG - Humanitaria
CÓMO VAMOS NUEVO LEÓN,ONG - Política y leyes
Instituto de atención Integral al Discapacitado RETOS A.B.P.,ONG - Humanitaria
Jefatura de Jardines de Niños Transferidos de Sector 2. SE,ONG - Humanitaria
"AMA y Trasciende, A.C.",ONG - Humanitaria
Save the Children - Fundación Mexicana de Apoyo Infantil A.C.,ONG - Humanitaria
